3195,a1bg-as1,2813,alzheimer's disease,LncRNADisease,
3195,a1bg-as1,2140,breast cancer,LncRNADisease,
3195,a1bg-as1,2142,cancer,LncRNADisease,
3195,a1bg-as1,2176,cervical cancer,LncRNADisease,
3195,a1bg-as1,2144,colorectal cancer,LncRNADisease,
3195,a1bg-as1,2151,hepatocellular carcinoma,LncRNADisease,
3195,a1bg-as1,2915,huntington's disease,LncRNADisease,
3195,a1bg-as1,2156,lung cancer,LncRNADisease,
3195,a1bg-as1,103,lymphoma,LncRNADisease,
3195,a1bg-as1,103,lymphoma,LncRNADisease,
3195,a1bg-as1,2916,malignant glioma,LncRNADisease,
3195,a1bg-as1,75,melanoma,LncRNADisease,
3195,a1bg-as1,5,neuroblastoma,LncRNADisease,
3195,a1bg-as1,2917,non-small cell lung carcinoma,LncRNADisease,
3195,a1bg-as1,65,osteosarcoma,LncRNADisease,
3195,a1bg-as1,2164,ovarian cancer,LncRNADisease,
3195,a1bg-as1,2167,prostate cancer,LncRNADisease,
3195,a1bg-as1,112,schizophrenia,LncRNADisease,
3195,a1bg-as1,2918,stomach cancer,LncRNADisease,
3195,a1bg-as1,2237,thyroid cancer,LncRNADisease,
3195,a1bg-as1,2263,urinary bladder cancer,LncRNADisease,
3230,a2m-as1,2813,alzheimer's disease,LncRNADisease,
3230,a2m-as1,2140,breast cancer,LncRNADisease,
3230,a2m-as1,2142,cancer,LncRNADisease,
3230,a2m-as1,2176,cervical cancer,LncRNADisease,
3230,a2m-as1,2144,colorectal cancer,LncRNADisease,
3230,a2m-as1,2151,hepatocellular carcinoma,LncRNADisease,
3230,a2m-as1,2915,huntington's disease,LncRNADisease,
3230,a2m-as1,103,lymphoma,LncRNADisease,
3230,a2m-as1,103,lymphoma,LncRNADisease,
3230,a2m-as1,2916,malignant glioma,LncRNADisease,
3230,a2m-as1,75,melanoma,LncRNADisease,
3230,a2m-as1,5,neuroblastoma,LncRNADisease,
3230,a2m-as1,2917,non-small cell lung carcinoma,LncRNADisease,
3230,a2m-as1,2164,ovarian cancer,LncRNADisease,
3230,a2m-as1,2167,prostate cancer,LncRNADisease,
3230,a2m-as1,112,schizophrenia,LncRNADisease,
3230,a2m-as1,2918,stomach cancer,LncRNADisease,
3230,a2m-as1,2918,stomach cancer,LncRNADisease,27647437.0
3230,a2m-as1,2237,thyroid cancer,LncRNADisease,
3230,a2m-as1,2263,urinary bladder cancer,LncRNADisease,
2481,aatbc,2176,cervical cancer,LncRNADisease,
2481,aatbc,103,lymphoma,LncRNADisease,
2481,aatbc,2916,malignant glioma,LncRNADisease,
2481,aatbc,2919,muscle-invasive bladder cancer,LncRNADisease,27863388.0
2481,aatbc,2917,non-small cell lung carcinoma,LncRNADisease,
2481,aatbc,2918,stomach cancer,LncRNADisease,
2481,aatbc,2237,thyroid cancer,LncRNADisease,
2481,aatbc,2263,urinary bladder cancer,LncRNADisease,
2481,aatbc,2263,urinary bladder cancer,LncRNADisease,25473900.0
572,ac000068.1,2176,cervical cancer,LncRNADisease,
572,ac000068.1,103,lymphoma,LncRNADisease,
572,ac000068.1,2916,malignant glioma,LncRNADisease,
572,ac000068.1,2917,non-small cell lung carcinoma,LncRNADisease,
572,ac000068.1,2918,stomach cancer,LncRNADisease,
572,ac000068.1,2237,thyroid cancer,LncRNADisease,
572,ac000068.1,2263,urinary bladder cancer,LncRNADisease,
1680,ac002127.2,2813,alzheimer's disease,LncRNADisease,
1680,ac002127.2,2140,breast cancer,LncRNADisease,
1680,ac002127.2,2142,cancer,LncRNADisease,
1680,ac002127.2,2176,cervical cancer,LncRNADisease,
1680,ac002127.2,2144,colorectal cancer,LncRNADisease,
1680,ac002127.2,2151,hepatocellular carcinoma,LncRNADisease,
1680,ac002127.2,2915,huntington's disease,LncRNADisease,
1680,ac002127.2,2156,lung cancer,LncRNADisease,
1680,ac002127.2,103,lymphoma,LncRNADisease,
1680,ac002127.2,103,lymphoma,LncRNADisease,
1680,ac002127.2,2916,malignant glioma,LncRNADisease,
1680,ac002127.2,5,neuroblastoma,LncRNADisease,
1680,ac002127.2,2917,non-small cell lung carcinoma,LncRNADisease,
1680,ac002127.2,2164,ovarian cancer,LncRNADisease,
1680,ac002127.2,2167,prostate cancer,LncRNADisease,
