858,hsa-mir-130b,0,wound healing,HMDD,36948039
1423,hsa-mir-221,1,stomach neoplasms,HMDD,36947996
2800,hsa-mir-497,2,pancreatic neoplasms,HMDD,36947456
2763,hsa-mir-511,3,"carcinoma, non-small-cell lung",HMDD,36947452
2570,hsa-mir-449b,4,liver neoplasms,HMDD,36946780
2715,hsa-mir-155,5,neuroblastoma,HMDD,36946346
1092,hsa-mir-145,6,uterine cervical neoplasms,HMDD,36946075
870,hsa-mir-21,7,"hypertension, pulmonary",HMDD,36945942
284,hsa-mir-143,7,"hypertension, pulmonary",HMDD,36945942
859,hsa-mir-200b,8,retinoblastoma,HMDD,36944544
3003,hsa-mir-425,9,"hepatitis b, chronic",HMDD,36944116
939,hsa-mir-195,9,"hepatitis b, chronic",HMDD,36944116
2302,hsa-mir-429,9,"hepatitis b, chronic",HMDD,36944116
158,hsa-mir-8485,9,"hepatitis b, chronic",HMDD,36944116
208,hsa-mir-215,9,"hepatitis b, chronic",HMDD,36944116
2109,hsa-mir-484,9,"hepatitis b, chronic",HMDD,36944116
2896,hsa-mir-619,9,"hepatitis b, chronic",HMDD,36944116
1469,hsa-mir-214,9,"hepatitis b, chronic",HMDD,36944116
1876,hsa-mir-16-2,9,"hepatitis b, chronic",HMDD,36944116
859,hsa-mir-200b,9,"hepatitis b, chronic",HMDD,36944116
271,hsa-mir-141,9,"hepatitis b, chronic",HMDD,36944116
2045,hsa-mir-200c,9,"hepatitis b, chronic",HMDD,36944116
2957,hsa-mir-130a,9,"hepatitis b, chronic",HMDD,36944116
2122,hsa-mir-200a,9,"hepatitis b, chronic",HMDD,36944116
2409,hsa-mir-454,10,breast neoplasms,HMDD,36943627
2697,hsa-mir-96,11,liver cirrhosis,HMDD,36943602
398,hsa-mir-27b,5,neuroblastoma,HMDD,36941992
2745,hsa-mir-93,12,osteoarthritis,HMDD,36941991
1092,hsa-mir-145,10,breast neoplasms,HMDD,36941464
1131,hsa-mir-15b,13,malaria,HMDD,36941394
1813,hsa-mir-451a,13,malaria,HMDD,36941394
